document,summary
b'the auckland blues put down new south wales ##-## in a super ## clash at eden park here wednesday in a match that produced ## tries .',b'auckland beat nsw in super ## match'
"b""french president nicolas sarkozy defended his country 's military force in afghanistan , saying friday that now is not the time to pull out .""",b'sarkozy to keep french troops in afghanistan'
"b""while it has long been associated with distressing psychological condition such as shell shock , war can sometimes be good for a soldier 's mental health , according to a british study published wednesday .""",b'war not always bad for soldiers psychological health british study finds'
"b""hasan UNK of bahrain held off a late challenge from qatar 's essa ismail rashed to win the men 's ## , ###m gold medal at the doha asian games .""","b""bahrain 's UNK wins men 's ##,### m gold at doha asiad"""
"b'a group of legal experts from kosovo will work together with international officials to draft a new set of laws for the southern yugoslav province , a united nations spokeswoman said monday .'",b'group agrees to draft new laws for kosovo'
"b""joe garagiola 's book `` baseball is a funny game '' established the former ballplayer in the early ####s as one of the sport 's wittiest UNK .""",b'garagiola says some baseball players taking wrong exit on tobacco'
"b""campaigning kicked off friday in regional elections seen as a test of prime minister jose luis rodriguez zapatero 's popularity as he confronts spain 's first recession in ## years .""",b'spanish regional election campaign begins'
"b'austrian archaeologists have discovered the oldest water pipe system ever found in egypt during excavations in the nile delta , the austrian institute for egyptology announced friday .'",b'austrians find oldest water distribution system in nile delta'
b'iraq said friday it was ready to resume limited oil exports in september after the un sanctions committee approved technical guidelines for an oil-for-food deal .',b'iraq ready to start selling oil in september'
b'crude tumbled nearly # percent to close below ### u.s. dollars monday amid a wider commodity selloff .',b'crude tumbles nearly # pc to close below ### dollars'
"b""a disabled australian-born girl was dismembered and police needed her stepmother 's help to find the remains because they were in such remote locations , according to court documents filed monday by the woman 's lawyers .""",b'court docs reveal disabled us girl was dismembered'
"b""china 's chen xiaomin set the women 's weightlifting ##-kg snatch world record with a lift of ### .""","b""chen UNK sets world women 's weightlifting ##-kg snatch record"""
"b'with a single $ ## billion swipe , pharmaceutical giant astrazeneca plc said monday it would buy one of the largest independent biotechnology companies in the united states , sending a jolt of excitement through the biotech industry .'",b'astrazeneca to buy medimmune'
b'an eight-member parliamentary delegation from the republic of china arrived in brasilia on monday for a whirlwind ##-hour visit .',b'roc parliamentary mission visits brazil'
"b'one survivor , possibly among the ### passengers and crew members of a concorde passenger plane of air france which crashed tuesday afternoon near paris , was found , said rescuers .'",b'one survivor found among victims of concorde crash'
b'the united states gave albania us$ ##.# million -lrb- euro## .# million -rrb- in friday aid to help it tackle corruption and bolster its judiciary .',b'us gives albania $ ##.# million to fight corruption'
"b""foreign secretary malcolm rifkind planned to go to washington on tuesday to assess the united states ' support for u.n. operations in bosnia .""",b'foreign secretary goes to u.s.'
"b'the indonesian forestry ministry has decided to lower the logging ceiling for natural forests by ##.# percent to #.## million cubic meters for the year #### , an official said tuesday .'",b'indonesia revises logging ceiling for natural forest downward for ####'
